observation_id,vin,target_id,observed_at,scan_id,price_cad,mileage_km,listing_url,listing_id,year,make,model,trim
obs_7e3278865a88,1FTFW1ED6PFA97626,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,50490,41993,https://www.clutch.ca/vehicles/106118,106118,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_11c4610fc796,1FTEW1EPXPKD47088,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,53890,36488,https://www.clutch.ca/vehicles/102032,102032,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_751561ef73ee,1FTEW1EP0PKE73329,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,50590,39844,https://www.clutch.ca/vehicles/104836,104836,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_1937ff4fb9bf,1FTFW1ED3PFB50802,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,60490,19805,https://www.clutch.ca/vehicles/105109,105109,2023,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_12aa30099076,1FTFW1E52PKE89874,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,53190,56810,https://www.clutch.ca/vehicles/106415,106415,2023,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_19f9434f77a7,1FTEW1EP7NKF17825,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,43590,15023,https://www.clutch.ca/vehicles/102091,102091,2022,Ford,F-150,XLT 300A Crew Cab Short Bed
obs_580a5580c68c,1FTEW1EPXNFB39637,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,,67520,https://www.clutch.ca/vehicles/107926,107926,2022,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_22e7048f4e8c,1FTFW1E85NKD79392,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,43190,84247,https://www.clutch.ca/vehicles/103836,103836,2022,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_f7d52234819b,1FTFW1E85NFA75004,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,41390,71642,https://www.clutch.ca/vehicles/104121,104121,2022,Ford,F-150,XLT 301A Crew Cab Standard Bed
obs_eb0f6bef77db,1FTEW1EP6NFA33444,ford-f150-ontario,2026-06-17T17:05:20-04:00,clutch_ford_f150_ontario_20260617_170520,45590,64791,https://www.clutch.ca/vehicles/98122,98122,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
